,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Тип двигателя,"Размах крыльев, м",Статус,Производитель,"Полезная нагрузка, кг",Диапазон рабочих температур,"Макс. скорость, км/ч"
210,Россия,Самолетный тип,3.0,1.5,20.0,3000.0,ДВС,1.47,Снято с производства,Иркут,0.3,–40°С..+50°С,105.0
211,Россия,Самолетный тип,3.0,1.25,15.0,3000.0,ДВС,2.0,В производстве,Иркут,0.5,−30°C.. +50°C,90.0
212,Россия,Самолетный тип,8.0,2.0,70.0,3000.0,ДВС,2.0,В производстве,Иркут,1.5,н/д,120.0
213,Россия,Самолетный тип,200.0,12.0,200.0,5000.0,ДВС,5.34,В разработке,Иркут,50.0,н/д,210.0
214,Россия,Самолетный тип,860.0,12.0,200.0,9000.0,ДВС,23.0,Снято с производства,Иркут,200.0,н/д,270.0
215,Россия,Самолетный тип,70.0,1.0,60.0,4000.0,Электрический,,Снято с производства,Истра,12.0,н/д,200.0
216,США,Вертолетный тип,2721.0,14.0,2272.0,6000.0,Газотурбинный,,В производстве,Northrop Grumman,,н/д,205.0
217,ОАЭ,Самолетный тип,75.0,0.5,,,ДВС,2.0,Снято с производства,Remote Piloted Systems,,н/д,180.0
218,ОАЭ,Самолетный тип,1500.0,120.0,1000.0,9000.0,ДВС,20.0,В производстве,Adcom Military Industries Yabhon,,н/д,220.0
219,ЮАР,Самолетный тип,40.0,4.0,60.0,5000.0,ДВС,3.4,В производстве,Advanced Technologies and Engineering,35.0,н/д,180.0
220,ЮАР,Самолетный тип,27.0,,,6000.0,ДВС,7.0,В производстве,Denel,50.0,–15°С..+50°С,220.0
221,Израиль,Самолетный тип,40.0,4.0,150.0,3100.0,ДВС,4.0,В производстве,Aeronautics Defense Systems,8.0,н/д,185.0
222,Израиль,Самолетный тип,70.0,5.0,150.0,3050.0,ДВС,4.5,В разработке,Aeronautics Defense Systems,18.0,н/д,185.0
223,Израиль,Самолетный тип,200.0,12.0,200.0,5486.0,ДВС,6.5,В производстве,Aeronautics Defense Systems,50.0,н/д,80.0
224,"Азербайджан, Израиль",Самолетный тип,6.5,7.0,150.0,5840.0,Электрический,2.2,В производстве,Aeronautics Defense Systems,1.5,н/д,130.0
225,"Азербайджан, Израиль",Самолетный тип,30.0,7.0,150.0,5500.0,Электрический,4.4,В производстве,Aeronautics Defense Systems,,н/д,130.0
226,Израиль,Вертолетный тип,720.0,8.0,200.0,3660.0,ДВС,,В производстве,Aeronautics Defense Systems,180.0,н/д,110.0
227,Израиль,Самолетный тип,9.0,3.0,35.0,4100.0,Электрический,1.7,В производстве,BlueBird Aero Systems,1.3,н/д,100.0
228,Израиль,Самолетный тип,1.0,1.0,10.0,4500.0,Электрический,0.95,В производстве,BlueBird Aero Systems,0.24,н/д,85.0
229,Израиль,Самолетный тип,8.0,4.0,50.0,9100.0,Электрический,2.4,В производстве,BlueBird Aero Systems,1.0,н/д,100.0
230,Израиль,Самолетный тип,100.0,10.0,92.0,6100.0,ДВС,4.26,Снято с производства,Silver Arrow,22.7,н/д,204.0
231,Казахстан,Самолетный тип,8.5,2.0,70.0,3100.0,Электрический,0.7,В производстве,Як-Алакон,,н/д,100.0
232,Казахстан,Самолетный тип,3.0,,15.0,3000.0,Электрический,2.0,В производстве,Як-Алакон,,н/д,90.0
233,Латвия,Самолетный тип,21.5,,50.0,4100.0,ДВС,3.3,В производстве,UAV Factory,,н/д,130.0
234,Россия,Вертолетный тип,95.0,6.0,50.0,4000.0,ДВС,,Снято с производства,ZALA AERO GROUP,50.0,н/д,150.0
235,Россия,Вертолетный тип,12.0,1.5,25.0,2500.0,ДВС,,Снято с производства,ZALA AERO GROUP,3.5,н/д,50.0
236,Россия,Самолетный тип,2.1,1.5,25.0,3600.0,Электрический,0.81,В производстве,ZALA AERO GROUP,0.3,−30°C..+40 °C,130.0
237,Россия,Самолетный тип,70.0,10.0,250.0,3000.0,ДВС,,Снято с производства,ZALA AERO GROUP,,н/д,130.0
238,Россия,Самолетный тип,0.79,0.5,5.0,2500.0,ДВС,0.4,Снято с производства,ZALA AERO GROUP,,−30°C..+40 °C,150.0
239,Россия,Самолетный тип,7.5,4.0,70.0,3600.0,Электрический,2.81,В производстве,ZALA AERO GROUP,1.5,−30°C..+40 °C,110.0
240,Россия,Самолетный тип,5.5,2.0,70.0,2100.0,Электрический,2.4,Снято с производства,Беспилотные системы,,–40°С..+40°С,120.0
241,Россия,Самолетный тип,10.5,3.5,300.0,6000.0,Электрический,3.0,Снято с производства,Беспилотные системы,2.5,–40°С..+40°С,120.0
242,Россия,Самолетный тип,10.5,4.0,360.0,3600.0,Электрический,3.5,В производстве,Беспилотные системы,2.5,–40°С..+50°С,120.0
243,Россия,Самолетный тип,4.5,4.0,360.0,3600.0,Электрический,3.5,В производстве,Беспилотные системы,,–40°С..+40°С,120.0
244,Россия,Коптерный тип,4.5,1.0,10.0,2100.0,Электрический,,В производстве,Беспилотные системы,1.0,–40°С..+40°С,50.0
245,Россия,Самолетный тип,2.5,2.0,120.0,3600.0,Электрический,1.0,В производстве,Беспилотные системы,0.4,−30°C.. +30°C,125.0
246,Россия,Самолетный тип,4.5,3.0,70.0,3600.0,Электрический,2.5,В производстве,Беспилотные системы,,−30°C.. +30°C,120.0
247,Россия,Коптерный тип,8.0,0.67,25.0,1000.0,Электрический,,Снято с производства,Беспилотные системы,1.5,–30°С..+35°С,60.0
248,Россия,Коптерный тип,1.5,0.4,5.0,1000.0,Электрический,,В производстве,Беспилотные системы,0.3,−30°C.. +30°C,40.0
249,Россия,Самолетный тип,,,20.0,3100.0,Электрический,1.3,В производстве,Омский государственный технический университет,,н/д,110.0
250,Россия,Самолетный тип,27.0,5.0,300.0,4500.0,ДВС,,В производстве,СТЦ,,н/д,170.0
251,Россия,Самолетный тип,14.0,16.0,120.0,5000.0,ДВС,3.1,В производстве,СТЦ,5.0,−30°C..+40 °C,170.0
252,Россия,Самолетный тип,7.0,3.0,100.0,7000.0,ДВС,2.1,В производстве,СТЦ,1.8,−30°C..+40 °C,150.0
253,Россия,Самолетный тип,7.0,3.0,100.0,7000.0,ДВС,2.1,Снято с производства,СТЦ,,н/д,150.0
254,Россия,Самолетный тип,500.0,15.0,150.0,6000.0,ДВС,5.63,В производстве,"КБ ""СОКОЛ""",,н/д,300.0
255,Россия,Самолетный тип,500.0,15.0,2400.0,6000.0,ДВС,3.2,В производстве,ОКБ «Симонова»,100.0,н/д,240.0
256,Россия,Вертолетный тип,1450.0,5.5,980.0,6000.0,ДВС,,В разработке,МВЗ им. Миля,300.0,н/д,265.0
257,Россия,Коптерный тип,3.0,0.33,2.5,,Электрический,,В разработке,МВЗ им. Миля,,н/д,30.0
258,Россия,Самолетный тип,380.0,8.0,80.0,3500.0,ДВС,5.9,В разработке,МАК,,–40°С..+50°С,150.0
259,Россия,Самолетный тип,70.0,2.0,70.0,3000.0,ДВС,3.4,В производстве,"КБ ""ЛУЧ""",,н/д,190.0
260,Россия,Самолетный тип,90.0,8.0,120.0,4500.0,ДВС,4.1,В производстве,"КБ ""ЛУЧ""",,н/д,180.0
261,Россия,Самолетный тип,35.0,3.0,50.0,3000.0,ДВС,2.4,В производстве,"КБ ""ЛУЧ""",,н/д,190.0
262,Израиль,Самолетный тип,65.0,10.0,50.0,4575.0,ДВС,4.5,Снято с производства,BlueBird Aero Systems,,н/д,55.0
263,Израиль,Самолетный тип,195.0,10.0,110.0,4575.0,ДВС,6.0,Снято с производства,Silver Arrow,,н/д,194.0
264,Израиль,Самолетный тип,450.0,20.0,200.0,6100.0,ДВС,10.5,В производстве,Silver Arrow,,н/д,176.0
265,Израиль,Самолетный тип,970.0,40.0,1500.0,9140.0,ДВС,15.0,В производстве,Silver Arrow,,н/д,220.0
266,Израиль,Самолетный тип,1650.0,40.0,200.0,9145.0,ДВС,18.0,В производстве,Silver Arrow,,н/д,305.0
267,Израиль,Самолетный тип,5.0,1.5,10.0,5000.0,Электрический,2.74,В производстве,Silver Arrow,0.9,н/д,80.0
268,Израиль,Самолетный тип,7.5,3.0,40.0,5000.0,Электрический,2.9,В производстве,Silver Arrow,1.1,н/д,92.0
269,Израиль,Самолетный тип,170.0,6.0,200.0,4575.0,ДВС,4.2,Снято с производства,Silver Arrow,45.0,н/д,176.0
270,Израиль,Самолетный тип,180.0,,300.0,6100.0,Электрический,6.5,В производстве,EMIT Aviation Consult,37.0,н/д,180.0
271,Израиль,Самолетный тип,5.6,1.0,10.0,3400.0,Электрический,2.2,В производстве,IAI,1.2,н/д,83.0
272,Израиль,Самолетный тип,11.0,3.0,20.0,1000.0,ДВС,3.0,В производстве,IAI,,н/д,120.0
273,Израиль,Самолетный тип,952.0,18.0,,6100.0,ДВС,16.61,Снято с производства,IAI,100.0,н/д,192.0
274,Израиль,Самолетный тип,125.0,3.0,400.0,3000.0,ДВС,2.0,Снято с производства,IAI,,н/д,250.0
275,Израиль,Самолетный тип,1150.0,46.0,1000.0,9150.0,ДВС,16.6,В производстве,IAI,,н/д,240.0
276,Израиль,Самолетный тип,160.0,7.0,100.0,5200.0,ДВС,5.7,Снято с производства,IAI,20.0,н/д,
277,Израиль,Самолетный тип,138.0,7.5,,4500.0,ДВС,4.0,Снято с производства,Tadiran Electronic Systems,,н/д,185.0
278,Израиль,Самолетный тип,285.0,9.0,100.0,4500.0,ДВС,5.71,Снято с производства,IAI,,н/д,220.0
279,Израиль,Самолетный тип,159.0,7.0,100.0,4575.0,ДВС,4.96,Снято с производства,IAI,,н/д,176.0
280,Израиль,Самолетный тип,372.0,14.0,220.0,4575.0,ДВС,7.22,В производстве,IAI,,н/д,200.0
281,Израиль,Самолетный тип,426.0,18.0,250.0,6100.0,ДВС,8.55,В производстве,IAI,,н/д,200.0
282,Израиль,Самолетный тип,150.0,5.0,100.0,4600.0,ДВС,6.0,Снято с производства,Rafael,,н/д,120.0
283,Израиль,Самолетный тип,,5.0,185.0,4572.0,ДВС,5.15,Снято с производства,Pioneer UAV Inc,,н/д,176.0
284,Израиль,Самолетный тип,726.0,11.0,267.0,4575.0,ДВС,8.9,Снято с производства,"IAI, TRW Inc Avionics and Surveillance Group",,н/д,204.0
285,Израиль,Самолетный тип,10.0,3.0,2.0,4500.0,Электрический,2.0,В производстве,Innocon,,н/д,70.0
286,Израиль,Самолетный тип,18.0,1.5,,,ДВС,3.3,Снято с производства,Nefer Technology Ltd,,н/д,60.0
287,Израиль,Самолетный тип,135.0,6.0,1000.0,3000.0,ДВС,3.0,В производстве,"Завод ""МАВАТ""",23.0,н/д,185.0
288,США,Самолетный тип,1.5,0.8,5.0,152.0,Электрический,1.02,В производстве,AeroVironment,,н/д,83.0
